Time, 	 ECG 
0.000000e+00, 	 -1.831050e-14 
1.000000e+00, 	 7.663002e-03 
2.000000e+00, 	 2.207875e-02 
3.000000e+00, 	 3.255705e-02 
4.000000e+00, 	 3.313007e-02 
5.000000e+00, 	 1.031056e-02 
6.000000e+00, 	 -2.124706e-02 
7.000000e+00, 	 2.164237e+00 
8.000000e+00, 	 5.638231e+00 
9.000000e+00, 	 9.697281e+00 
1.000000e+01, 	 1.677466e+01 
1.100000e+01, 	 3.978091e+01 
1.200000e+01, 	 8.109025e+01 
1.300000e+01, 	 1.145720e+02 
1.400000e+01, 	 1.636689e+02 
1.500000e+01, 	 2.256367e+02 
1.600000e+01, 	 1.242078e+02 
1.700000e+01, 	 1.380357e+02 
1.800000e+01, 	 1.007177e+02 
1.900000e+01, 	 -2.559201e+02 
2.000000e+01, 	 -6.365413e+02 
2.100000e+01, 	 -5.920746e+02 
2.200000e+01, 	 -5.352060e+02 
2.300000e+01, 	 -4.880581e+02 
2.400000e+01, 	 -4.142249e+02 
2.500000e+01, 	 -2.930076e+02 
2.600000e+01, 	 -2.210493e+02 
2.700000e+01, 	 -1.677153e+02 
2.800000e+01, 	 -1.167969e+02 
2.900000e+01, 	 -8.607023e+01 
3.000000e+01, 	 -4.272643e+01 
3.100000e+01, 	 -1.630954e+01 
3.200000e+01, 	 -5.705682e+00 
3.300000e+01, 	 -2.152068e+00 
3.400000e+01, 	 -2.754765e-01 
3.500000e+01, 	 1.641743e-01 
3.600000e+01, 	 1.682615e-01 
3.700000e+01, 	 1.724338e-01 
3.800000e+01, 	 1.767098e-01 
3.900000e+01, 	 1.810924e-01 
4.000000e+01, 	 1.855840e-01 
4.100000e+01, 	 1.901874e-01 
4.200000e+01, 	 1.949054e-01 
4.300000e+01, 	 1.997410e-01 
4.400000e+01, 	 2.046970e-01 
4.500000e+01, 	 2.097765e-01 
4.600000e+01, 	 2.149825e-01 
4.700000e+01, 	 2.203184e-01 
4.800000e+01, 	 2.257872e-01 
4.900000e+01, 	 2.313925e-01 
5.000000e+01, 	 2.371375e-01 
